type,wgt_avg_resistance,avg_resistance,skew,num_4x,num_weaknesses,num_resists,num_doub_resist
Electric/Flying,0.83,0.92,-0.09000000000000008,0,2,16,0
Dragon/Water,0.84,1,-0.16000000000000003,0,2,16,2
Dragon/Ghost,0.87,1,-0.13,0,5,13,0
Dragon/Fairy,0.88,0.97,-0.08999999999999997,0,4,14,0
Dragon/Poison,0.9,1.01,-0.10999999999999999,0,4,14,1
Dark/Ghost,0.91,0.86,0.050000000000000044,0,1,17,0
Dragon/Fire,0.91,1,-0.08999999999999997,0,3,15,2
Dragon/Flying,0.91,1.12,-0.21000000000000008,1,4,14,1
Dragon,0.91,1.06,-0.15000000000000002,0,3,15,0
Fairy/Water,0.91,0.94,-0.029999999999999916,0,3,15,0
Flying/Poison,0.91,0.99,-0.07999999999999996,0,4,14,3
Ghost/Normal,0.91,0.83,0.08000000000000007,0,1,17,0
Dragon/Electric,0.92,1.04,-0.12,0,4,14,1
Dragon/Steel,0.92,0.79,0.13,0,2,16,1
Flying/Steel,0.92,0.75,0.17000000000000004,0,2,16,2
Ghost/Water,0.92,0.94,-0.019999999999999907,0,4,14,0
Poison/Water,0.92,0.94,-0.019999999999999907,0,3,15,0
Electric/Fairy,0.93,0.92,0.010000000000000009,0,2,16,0
Electric/Water,0.93,0.96,-0.029999999999999916,0,2,16,1
Electric/Ghost,0.95,0.92,0.029999999999999916,0,3,15,0
Fairy/Ghost,0.95,0.9,0.04999999999999993,0,2,16,1
Flying/Water,0.95,1.03,-0.08000000000000007,1,2,16,0
Grass/Water,0.95,1.07,-0.1200000000000001,0,3,15,1
Fire/Flying,0.96,1.03,-0.07000000000000006,1,3,15,2
Ghost,0.96,0.94,0.020000000000000018,0,2,16,0
Water,0.96,1,-0.040000000000000036,0,2,16,0
Dragon/Psychic,0.97,1.17,-0.19999999999999996,0,6,12,0
Flying,0.97,1.03,-0.06000000000000005,0,3,15,0
Bug/Dragon,0.98,1.12,-0.14000000000000012,0,5,13,1
Bug/Water,0.98,1.03,-0.050000000000000044,0,3,15,0
Dragon/Normal,0.98,1.06,-0.08000000000000007,0,4,14,0
Fairy/Flying,0.98,1.03,-0.050000000000000044,0,5,13,2
Fairy,0.98,0.97,0.010000000000000009,0,2,16,0
Fire/Grass,0.98,1.04,-0.06000000000000005,0,3,15,1
Fire/Water,0.98,0.99,-0.010000000000000009,0,3,15,3
Flying/Ghost,0.98,1.01,-0.030000000000000027,0,5,13,1
Electric,0.99,0.97,0.020000000000000018,0,1,17,0
Fairy/Fire,0.99,0.96,0.030000000000000027,0,4,14,1
Flying/Normal,0.99,1,-0.010000000000000009,0,3,15,0
Poison,0.99,0.97,0.020000000000000018,0,2,16,0
Steel/Water,0.99,0.81,0.17999999999999994,0,3,15,2
Dark/Poison,1,0.89,0.10999999999999999,0,1,17,0
Fairy/Normal,1,0.94,0.06000000000000005,0,2,16,0
Fairy/Poison,1,0.94,0.06000000000000005,0,3,15,2
Fighting/Ghost,1,1.01,-0.010000000000000009,0,4,14,1
