match_number,match_id,match_time,player_id,win_flag,elo_start,mon1,mon2,mon3,mon4,mon5,mon6,lead1,lead2,elo_end
1,1647457619,2022-03-16T19:06:59Z,melondonkey,0,1210,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1185
1,1647457619,2022-03-16T19:06:59Z,Palk on the Rocks,1,1212,Palkia,Alcremie,Calyrex-Ice,Incineroar,Amoonguss,Regieleki,Amoonguss,Palkia,1237
2,1647526578,2022-03-17T14:16:18Z,melondonkey,1,1112,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Regieleki,Zacian-Crowned,1130
2,1647526578,2022-03-17T14:16:18Z,2git,0,1013,Xerneas-*,Quagsire,Indeedee-F,Tsareena,Yveltal,Regieleki,Xerneas,Indeedee-F,1004
3,1647526768,2022-03-17T14:19:28Z,melondonkey,1,1130,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1152
3,1647526768,2022-03-17T14:19:28Z,XOneX Clyde,0,1089,Zacian-*,Calyrex-Shadow,Thundurus,Regieleki,Accelgor,Palossand,Calyrex-Shadow,Thundurus,1068
4,1647527098,2022-03-17T14:24:58Z,melondonkey,0,1152,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1128
4,1647527098,2022-03-17T14:24:58Z,FD.God2009,1,1170,Blastoise,Kyogre,Zacian-*,Regieleki,Incineroar,Tornadus,Kyogre,Tornadus,1194
5,1647527239,2022-03-17T14:27:19Z,melondonkey,1,1128,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1151
5,1647527239,2022-03-17T14:27:19Z,Khoaibibi1,0,1107,Groudon,Grimmsnarl,Yveltal,Urshifu-*,Gastrodon,Regieleki,Grimmsnarl,Regieleki,1084
6,1647527461,2022-03-17T14:31:01Z,TacoDad,1,1240,Palkia,Incineroar,Zacian-*,Thundurus,Amoonguss,Landorus-Therian,Thundurus,Landorus-Therian,1259
6,1647527461,2022-03-17T14:31:01Z,melondonkey,0,1151,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Regieleki,Zacian-Crowned,1132
7,1647527637,2022-03-17T14:33:57Z,melondonkey,1,1132,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1164
7,1647527637,2022-03-17T14:33:57Z,tKiavass,0,1225,Dialga,Zacian-*,Grimmsnarl,Landorus-Therian,Rillaboom,Urshifu-*,Dialga,Grimmsnarl,1193
8,1647528028,2022-03-17T14:40:28Z,ElPipillo,1,1149,Lunala,Whimsicott,Reshiram,Incineroar,Thundurus,Celesteela,Thundurus,Lunala,1175
8,1647528028,2022-03-17T14:40:28Z,melondonkey,0,1164,Zacian-*,Kyurem-White,Regieleki,Sableye,Whimsicott,Incineroar,Sableye,Kyurem-White,1138
9,1647534463,2022-03-17T16:27:43Z,whoismrfreeze,0,1240,Gastrodon,Landorus-Therian,Yveltal,Grimmsnarl,Zacian-*,Regieleki,Zacian-Crowned,Regieleki,1210
